fetched_at,rate_date,base_currency,target_currency,rate
2026-06-09 06:00:00 UTC,2026-06-09,USD,ZAR,17.8077
2026-06-09 06:00:00 UTC,2026-06-09,USD,EUR,0.9172
2026-06-09 06:00:00 UTC,2026-06-09,USD,GBP,0.7909
2026-06-09 06:00:00 UTC,2026-06-09,USD,JPY,147.9869
2026-06-09 06:00:00 UTC,2026-06-09,USD,AUD,1.5204
2026-06-10 06:00:00 UTC,2026-06-10,USD,ZAR,17.7755
2026-06-10 06:00:00 UTC,2026-06-10,USD,EUR,0.9137
2026-06-10 06:00:00 UTC,2026-06-10,USD,GBP,0.791
2026-06-10 06:00:00 UTC,2026-06-10,USD,JPY,147.4319
2026-06-10 06:00:00 UTC,2026-06-10,USD,AUD,1.5196
2026-06-11 06:00:00 UTC,2026-06-11,USD,ZAR,17.6723
2026-06-11 06:00:00 UTC,2026-06-11,USD,EUR,0.9104
2026-06-11 06:00:00 UTC,2026-06-11,USD,GBP,0.7905
2026-06-11 06:00:00 UTC,2026-06-11,USD,JPY,147.8241
2026-06-11 06:00:00 UTC,2026-06-11,USD,AUD,1.5151
2026-06-12 06:00:00 UTC,2026-06-12,USD,ZAR,17.6058
2026-06-12 06:00:00 UTC,2026-06-12,USD,EUR,0.9114
2026-06-12 06:00:00 UTC,2026-06-12,USD,GBP,0.7932
2026-06-12 06:00:00 UTC,2026-06-12,USD,JPY,147.9167
2026-06-12 06:00:00 UTC,2026-06-12,USD,AUD,1.5139
2026-06-15 06:00:00 UTC,2026-06-15,USD,ZAR,17.7201
2026-06-15 06:00:00 UTC,2026-06-15,USD,EUR,0.9078
2026-06-15 06:00:00 UTC,2026-06-15,USD,GBP,0.7953
2026-06-15 06:00:00 UTC,2026-06-15,USD,JPY,147.6642
2026-06-15 06:00:00 UTC,2026-06-15,USD,AUD,1.5096
2026-06-16 06:00:00 UTC,2026-06-16,USD,ZAR,17.6284
2026-06-16 06:00:00 UTC,2026-06-16,USD,EUR,0.9063
2026-06-16 06:00:00 UTC,2026-06-16,USD,GBP,0.7972
2026-06-16 06:00:00 UTC,2026-06-16,USD,JPY,147.2811
2026-06-16 06:00:00 UTC,2026-06-16,USD,AUD,1.5106
2026-06-17 06:00:00 UTC,2026-06-17,USD,ZAR,17.6617
2026-06-17 06:00:00 UTC,2026-06-17,USD,EUR,0.9052
2026-06-17 06:00:00 UTC,2026-06-17,USD,GBP,0.7975
2026-06-17 06:00:00 UTC,2026-06-17,USD,JPY,146.7564
2026-06-17 06:00:00 UTC,2026-06-17,USD,AUD,1.5053
2026-06-18 06:00:00 UTC,2026-06-18,USD,ZAR,17.5912
2026-06-18 06:00:00 UTC,2026-06-18,USD,EUR,0.9067
2026-06-18 06:00:00 UTC,2026-06-18,USD,GBP,0.7971
